country,region_cont,region_stat
 United States Virgin Islands,Americas,Caribbean
 Antigua and Barbuda,Americas,Caribbean
 Seychelles,Africa,Eastern Africa
 Isle of Man,Europe,Northern Europe
 Andorra,Europe,Southern Europe
 Dominica,Americas,Caribbean
 Cayman Islands,Americas,Caribbean
 Bermuda,Americas,Northern America
 Greenland,Americas,Northern America
 American Samoa,Oceania,Polynesia
 Saint Kitts and Nevis,Americas,Caribbean
 Northern Mariana Islands,Oceania,Micronesia
 Marshall Islands,Oceania,Micronesia
 Faroe Islands,Europe,Northern Europe
 Sint Maarten,Americas,Caribbean
 Monaco,Europe,Western Europe
 Liechtenstein,Europe,Western Europe
 Turks and Caicos Islands,Americas,Caribbean
 Gibraltar,Europe,Southern Europe
 San Marino,Europe,Southern Europe
 British Virgin Islands,Americas,Caribbean
 Caribbean Netherlands,Americas,Caribbean
 Palau,Oceania,Micronesia
 Cook Islands,Oceania,Polynesia
 Anguilla,Americas,Caribbean
 Wallis and Futuna,Oceania,Polynesia
 Nauru,Oceania,Micronesia
 Tuvalu,Oceania,Polynesia
 Saint Pierre and Miquelon,Americas,Northern America
 Montserrat,Americas,Caribbean
" Saint Helena, Ascension and Tristan da Cunha",Africa,Western Africa
 Falkland Islands,Americas,South America
 Niue,Oceania,Polynesia
 Tokelau,Oceania,Polynesia
  Vatican City,Europe,Southern Europe
